NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,PARTLY_VACCINATED_JJ_AMT
34022,M,90-100+,1,1,326,Kortrijk,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,141,207,0,189,141,17,0,1,0,0
34040,M,80-89,1,1,883,Waregem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,90,741,0,177,90,563,0,1,0,0
46020,M,70-79,1,1,831,Sint-Gillis-Waas,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,33,291,0,17,31,271,2,3,0,0
13044,M,10-19,0,0,377,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen,0,0,0,0,0,0,0,0,0,0
24009,M,20-29,1,0,560,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,18,16,0,14,17,1,1,1,0,0
31042,M,60-69,1,1,107,Zuienkerke,West-Vlaanderen,Vlaams Gewest,Oostkust,3,9,0,7,3,2,0,0,0,0
33021,M,80-89,1,1,478,Poperinge,West-Vlaanderen,Vlaams Gewest,Westhoek,50,408,0,110,50,294,0,4,0,0
34013,V,60-69,1,1,848,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,25,34,0,15,24,11,1,8,0,0
23052,M,90-100+,1,1,46,Merchtem,Vlaams-Brabant,Vlaams Gewest,AMALO,17,32,0,31,17,1,0,0,0,0
11022,V,60-69,1,0,641,Kalmthout,Antwerpen,Vlaams Gewest,Noorderkempen,77,28,0,22,72,6,5,0,0,0
13010,V,70-79,1,1,548,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen,12,33,0,5,12,27,0,1,0,0
24135,M,0-9,0,0,548,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest,Demerland,0,0,0,0,0,0,0,0,0,0
24135,V,10-19,1,0,100,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest,Demerland,4,1,0,0,4,0,0,1,0,0
34027,V,0-9,0,0,1873,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen,0,0,0,0,0,0,0,0,0,0
37002,V,10-19,1,0,93,Dentergem,West-Vlaanderen,Vlaams Gewest,RITS,7,3,0,1,7,2,0,0,0,0
37007,M,80-89,1,1,223,Meulebeke,West-Vlaanderen,Vlaams Gewest,RITS,25,173,0,26,24,147,1,0,0,0
38014,M,40-49,1,0,930,Koksijde,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,36,36,0,26,29,7,7,3,0,0
42003,M,60-69,1,1,478,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender,13,20,0,6,13,11,0,3,0,0
44012,M,40-49,1,0,683,De Pinte,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,16,25,0,20,14,3,2,2,0,0
44052,V,30-39,1,0,847,Oosterzele,Oost-Vlaanderen,Vlaams Gewest,Panacea,88,121,0,97,80,20,8,4,0,0
44084,M,40-49,1,0,1953,Aalter,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,39,65,0,55,35,7,4,3,0,0
24137,M,80-89,1,1,114,Glabbeek,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,8,101,0,25,8,76,0,0,0,0
37010,M,0-9,0,0,460,Oostrozebeke,West-Vlaanderen,Vlaams Gewest,RITS,0,0,0,0,0,0,0,0,0,0
24104,V,0-9,0,0,1317,Tervuren,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,0,0,0,0,0,0,0,0,0,0
71057,V,0-9,0,0,887,Tessenderlo,Limburg,Vlaams Gewest,West-Limburg,0,0,0,0,0,0,0,0,0,0
11016,M,20-29,1,0,1138,Essen,Antwerpen,Vlaams Gewest,Noorderkempen,28,25,0,16,26,9,2,0,0,0
12025,V,60-69,1,0,2534,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,251,135,0,114,239,20,12,1,0,0
13016,V,40-49,1,0,724,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen,80,57,0,49,72,7,8,1,0,0
11018,V,0-9,0,0,700,Hemiksem,Antwerpen,Vlaams Gewest,RupeLaar,0,0,0,0,0,0,0,0,0,0
11025,V,10-19,0,0,380,Lint,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,0,0,0,0,0,0,0,0,0,0
11055,M,90-100+,1,1,77,Zoersel,Antwerpen,Vlaams Gewest,Voorkempen,35,46,0,36,35,9,0,1,0,0
23064,M,40-49,1,0,286,Pepingen,Vlaams-Brabant,Vlaams Gewest,Zennevallei,9,4,0,3,8,1,1,0,0,0
11029,V,90-100+,1,1,283,Mortsel,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,172,144,0,126,172,18,0,0,0,0
11037,V,30-39,1,0,906,Rumst,Antwerpen,Vlaams Gewest,RupeLaar,104,86,0,72,98,13,6,1,0,0
13019,M,60-69,1,0,676,Lille,Antwerpen,Vlaams Gewest,Middenkempen,33,7,0,6,31,1,2,0,0,0
11004,M,60-69,1,0,494,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,31,23,0,16,29,6,2,1,0,0
11039,V,30-39,1,0,996,Schilde,Antwerpen,Vlaams Gewest,Voorkempen,69,75,0,65,58,8,11,2,0,0
11039,M,80-89,1,1,627,Schilde,Antwerpen,Vlaams Gewest,Voorkempen,37,482,0,145,37,336,0,1,0,0
11009,M,60-69,1,0,1167,Brecht,Antwerpen,Vlaams Gewest,Voorkempen,35,28,0,19,34,7,1,2,0,0
11023,V,0-9,0,0,1270,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,0,0,0,0,0,0,0,0,0,0
11056,M,10-19,1,0,186,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,1,0,0,0,1,0,0,0,0,0
23023,V,0-9,0,0,439,Galmaarden,Vlaams-Brabant,Vlaams Gewest,Pajottenland,0,0,0,0,0,0,0,0,0,0
24007,M,10-19,0,0,417,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland,0,0,0,0,0,0,0,0,0,0
24130,M,90-100+,1,1,26,Zoutleeuw,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,9,19,0,17,9,2,0,0,0,0
11024,M,20-29,1,0,1267,Kontich,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,27,42,0,37,22,5,5,0,0,0
23002,V,90-100+,1,1,271,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO,107,146,0,135,107,11,0,0,0,0
23024,V,80-89,1,1,320,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,78,214,0,27,78,187,0,0,0,0
23102,M,60-69,1,0,463,Wemmel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,39,22,0,6,39,13,0,3,0,0
31005,M,60-69,1,0,4064,Brugge,West-Vlaanderen,Vlaams Gewest,Brugge,251,144,0,93,236,39,15,12,0,0
44034,V,20-29,1,0,1169,Lochristi,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,109,120,0,103,100,10,9,7,0,0
11009,M,10-19,1,0,344,Brecht,Antwerpen,Vlaams Gewest,Voorkempen,11,4,0,3,11,1,0,0,0,0
11022,V,90-100+,1,1,141,Kalmthout,Antwerpen,Vlaams Gewest,Noorderkempen,87,66,0,18,87,48,0,0,0,0
11055,V,80-89,1,1,644,Zoersel,Antwerpen,Vlaams Gewest,Voorkempen,186,436,0,115,185,321,1,0,0,0
12021,M,30-39,1,0,2344,Lier,Antwerpen,Vlaams Gewest,Pallieterland,60,77,0,63,55,12,5,2,0,0
11037,V,60-69,1,0,489,Rumst,Antwerpen,Vlaams Gewest,RupeLaar,49,41,0,30,41,9,8,2,0,0
12009,M,40-49,1,0,1170,Duffel,Antwerpen,Vlaams Gewest,Pallieterland,40,77,0,56,31,12,9,9,0,0
13012,V,50-59,1,0,709,Herenthout,Antwerpen,Vlaams Gewest,Middenkempen,70,30,0,27,63,3,7,0,0,0
13019,V,60-69,1,1,510,Lille,Antwerpen,Vlaams Gewest,Middenkempen,24,7,0,7,24,0,0,0,0,0
24007,V,60-69,1,0,382,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland,47,11,0,9,47,2,0,0,0,0
11008,V,90-100+,1,1,293,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen,157,176,0,70,157,106,0,0,0,0
11007,V,90-100+,1,1,65,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,36,32,0,23,36,1,0,8,0,0
11044,V,40-49,1,0,1268,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,114,79,0,62,102,14,12,3,0,0
11050,M,80-89,1,1,261,Wijnegem,Antwerpen,Vlaams Gewest,Voorkempen,34,195,0,55,34,139,0,1,0,0
24059,M,40-49,1,0,1045,Landen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,33,52,0,42,32,10,1,0,0,0
11055,M,50-59,1,0,1692,Zoersel,Antwerpen,Vlaams Gewest,Voorkempen,70,52,0,38,62,11,8,3,0,0
13016,M,40-49,1,0,708,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen,14,22,0,16,13,5,1,1,0,0
13040,V,60-69,1,1,1243,Turnhout,Antwerpen,Vlaams Gewest,Kempenland,40,29,0,24,40,4,0,1,0,0
23023,V,80-89,1,1,242,Galmaarden,Vlaams-Brabant,Vlaams Gewest,Pajottenland,33,182,0,35,33,147,0,0,0,0
23050,V,50-59,1,0,1509,Meise,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,151,111,0,94,143,16,8,1,0,0
23094,M,50-59,1,0,2288,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,65,181,0,146,61,31,4,4,0,0
24066,M,90-100+,1,1,65,Lubbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,13,44,0,23,13,21,0,0,0,0
24011,M,60-69,1,1,334,Bierbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,19,19,0,15,18,2,1,2,0,0
24016,M,10-19,1,0,111,Boutersem,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,0,1,0,0,0,1,0,0,0,0
24041,M,40-49,1,0,469,Hoegaarden,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,23,23,0,16,19,6,4,1,0,0
31040,M,20-29,1,0,1339,Zedelgem,West-Vlaanderen,Vlaams Gewest,WE40,36,34,0,28,33,6,3,0,0,0
32003,V,0-9,0,0,871,Diksmuide,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,0,0,0,0,0,0,0,0,0,0
33029,M,30-39,1,0,1163,Wervik,West-Vlaanderen,Vlaams Gewest,Regio Menen,30,31,0,24,28,4,2,3,0,0
34042,V,40-49,1,0,1604,Zwevegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,220,155,0,142,217,12,3,1,0,0
35006,M,30-39,1,0,857,Ichtegem,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,31,27,0,20,30,4,1,3,0,0
